,created_at,id,health,politics,emotions,full_text,full_text_tokenize,clean_full_text,clean_full_text_tokenized,porter_lamtizer_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sat Oct 24 06:33:50 +0000 2020,1.31989E+18,0,0,0,could urged keep windows open effort curb Covid-19 https://t.co/xHHw4ZqzJE,"['could', 'urged', 'keep', 'windows', 'open', 'effort', 'curb', 'Covid', '-', '19', 'https://t.co/xHHw4ZqzJE']",could urged keep windows open effort curb Covid19 ,"['urged', 'keep', 'windows', 'effort', 'curb', 'Covid']","urg,keep,window,effort,curb,covid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sat Oct 24 06:33:50 +0000 2020,1.31989E+18,0,0,1,"@jamesjyu Dreams? Looking after friend's house for few days. Masks are few and far between. Going the corner store was waking nightmare. don't actually want home, for fear taking covid back there.","['@jamesjyu', 'Dreams', '?', 'Looking', 'after', ""friend's"", 'house', 'for', 'few', 'days', '.', 'Masks', 'are', 'few', 'and', 'far', 'between', '.', 'Going', 'the', 'corner', 'store', 'was', 'waking', 'nightmare', '.', ""don't"", 'actually', 'want', 'home', ',', 'for', 'fear', 'taking', 'covid', 'back', 'there', '.']", Dreams Looking after friends house for few days Masks are few and far between Going the corner store was waking nightmare dont actually want home for fear taking covid back there,"['Dreams', 'Looking', ""friend's"", 'house', 'Masks', 'far', 'Going', 'waking', 'want', 'home', 'fear', 'back']","dream,look,friend',hous,mask,far,go,wake,want,home,fear,back",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat Oct 24 06:33:49 +0000 2020,1.31989E+18,0,0,1,@dr_shibley Money causes most mum’s anxieties. She’s always used cash and now because Covid are getting food/newspaper her and paying online. She calls several times day see whom she owes money to. Constant question- owe you anything?,"['@dr_shibley', 'Money', 'causes', 'most', 'mum', '’', 's', 'anxieties', '.', 'She', '’', 's', 'always', 'used', 'cash', 'and', 'now', 'because', 'Covid', 'are', 'getting', 'food', '/', 'newspaper', 'her', 'and', 'paying', 'online', '.', 'She', 'calls', 'several', 'times', 'day', 'see', 'whom', 'she', 'owes', 'money', 'to', '.', 'Constant', 'question', '-', 'owe', 'you', 'anything', '?']",shibley Money causes most mums anxieties Shes always used cash and now because Covid are getting foodnewspaper her and paying online She calls several times day see whom she owes money to Constant question owe you anything,"['Money', 'causes', 'used', 'cash', 'Covid', 'getting', 'food', 'paying', 'calls', 'Constant', 'question']","money,caus,use,cash,covid,get,food,pay,call,constant,question",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sat Oct 24 06:33:49 +0000 2020,1.31989E+18,0,0,1,Covid breakup like: leme call discord and cry,"['Covid', 'breakup', 'like', ':', 'leme', 'call', 'discord', 'and', 'cry']",Covid breakup like leme call discord and cry,"['Covid', 'breakup', 'like', 'leme', 'call', 'cry']","covid,breakup,like,leme,call,cri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sat Oct 24 06:33:49 +0000 2020,1.31989E+18,0,1,0,Released emails show Fauci signed off WHO-sponsored statement approving China's response COVID https://t.co/G7QPMBDM5C via @JustTheNews,"['Released', 'emails', 'show', 'Fauci', 'signed', 'off', 'WHO-sponsored', 'statement', 'approving', ""China's"", 'response', 'COVID', 'https://t.co/G7QPMBDM5C', 'via', '@JustTheNews']",Released emails show Fauci signed off WHOsponsored statement approving Chinas response COVID  via ,"['Released', 'emails', 'Fauci', 'WHO-sponsored', ""China's"", 'COVID']","releas,email,fauci,who-sponsor,china',covid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat Oct 24 06:33:49 +0000 2020,1.31989E+18,0,1,0,#auspol Wow. Check out the video from Luke this article. Appeal for Volunteers Help Expose NHS COVID Test Fraud https://t.co/MEJp6Gk5Sz via @johnosullpsi,"['#auspol', 'Wow', '.', 'Check', 'out', 'the', 'video', 'from', 'Luke', 'this', 'article', '.', 'Appeal', 'for', 'Volunteers', 'Help', 'Expose', 'NHS', 'COVID', 'Test', 'Fraud', 'https://t.co/MEJp6Gk5Sz', 'via', '@johnosullpsi']",auspol Wow Check out the video from Luke this article Appeal for Volunteers Help Expose NHS COVID Test Fraud  via ,"['Wow', 'Check', 'video', 'Luke', 'Volunteers', 'Help', 'Expose', 'NHS', 'COVID', 'Test', 'Fraud']","wow,check,video,luke,volunt,help,expos,nh,covid,test,fraud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat Oct 24 06:33:48 +0000 2020,1.31989E+18,1,0,0,"New U.S. Covid-19 cases rose above 80,000 daily record, Johns Hopkins data show, the virus spread remote areas that hadn’t been hard hit https://t.co/HJHXxWuvSj","['New', 'U', '.', 'S', '.', 'Covid', '-', '19', 'cases', 'rose', 'above', '80,000', 'daily', 'record', ',', 'Johns', 'Hopkins', 'data', 'show', ',', 'the', 'virus', 'spread', 'remote', 'areas', 'that', 'hadn', '’', 't', 'been', 'hard', 'hit', 'https://t.co/HJHXxWuvSj']",New US Covid19 cases rose above 80000 daily record Johns Hopkins data show the virus spread remote areas that hadnt been hard hit ,"['New', 'Covid', 'cases', 'rose', '80,000', 'Johns', 'Hopkins', 'virus', 'hard', 'hit']","new,covid,case,rose,80,000,john,hopkin,viru,hard,hit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sat Oct 24 06:33:47 +0000 2020,1.31989E+18,1,0,1,And what’s worse that CAN’T DIFFERENTIATE ANXIETY ATTACKS ACTUALLY COVID BECAUSE THEY BOTH HAVE SHORT BREATHING SYMPTOMS AAAAAAAAAAAAAAAAAA https://t.co/u2VFygSaP8,"['And', 'what', '’', 's', 'worse', 'that', 'CAN', '’', 'T', 'DIFFERENTIATE', 'ANXIETY', 'ATTACKS', 'ACTUALLY', 'COVID', 'BECAUSE', 'THEY', 'BOTH', 'HAVE', 'SHORT', 'BREATHING', 'SYMPTOMS', 'AAAAAAAAAAAAAAAAAA', 'https://t.co/u2VFygSaP8']",And whats worse that CANT DIFFERENTIATE ANXIETY ATTACKS ACTUALLY COVID BECAUSE THEY BOTH HAVE SHORT BREATHING SYMPTOMS AAAAAAAAAAAAAAAAAA ,"['worse', 'CAN', 'T', 'DIFFERENTIATE', 'COVID', 'BECAUSE', 'THEY', 'BOTH', 'HAVE', 'BREATHING']","wors,can,T,differenti,covid,becaus,they,both,have,breath",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Oct 24 06:33:47 +0000 2020,1.31989E+18,1,0,0,@tellthee @Leic_hospital house bound the only other people hes sees are his wife who had negative #covid test last week before she had operation the wife who also gave negative #covid test and self who does not show any symptoms,"['@tellthee', '@Leic_hospital', 'house', 'bound', 'the', 'only', 'other', 'people', 'hes', 'sees', 'are', 'his', 'wife', 'who', 'had', 'negative', '#covid', 'test', 'last', 'week', 'before', 'she', 'had', 'operation', 'the', 'wife', 'who', 'also', 'gave', 'negative', '#covid', 'test', 'and', 'self', 'who', 'does', 'not', 'show', 'any', 'symptoms']", hospital house bound the only other people hes sees are his wife who had negative covid test last week before she had operation the wife who also gave negative covid test and self who does not show any symptoms,"['house', 'bound', 'people', 'wife', 'last', 'wife', 'gave']","hous,bound,peopl,wife,last,wife,gave",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sat Oct 24 06:33:46 +0000 2020,1.31989E+18,0,1,0,"@RaiderBatti @GavinNewsom Why would they? The Republicans are doing nothing for young people. They don't have plan combat COVID, fix the student loan debt issue, they have regressive environmental plan, equality for women, LGTBQIA+, minorities, they offer young people nothing.","['@RaiderBatti', '@GavinNewsom', 'Why', 'would', 'they', '?', 'The', 'Republicans', 'are', 'doing', 'nothing', 'for', 'young', 'people', '.', 'They', ""don't"", 'have', 'plan', 'combat', 'COVID', ',', 'fix', 'the', 'student', 'loan', 'debt', 'issue', ',', 'they', 'have', 'regressive', 'environmental', 'plan', ',', 'equality', 'for', 'women', ',', 'LGTBQIA', '+', ',', 'minorities', ',', 'they', 'offer', 'young', 'people', 'nothing', '.']",  Why would they The Republicans are doing nothing for young people They dont have plan combat COVID fix the student loan debt issue they have regressive environmental plan equality for women LGTBQIA minorities they offer young people nothing,"['Why', 'would', 'Republicans', 'people', 'plan', 'COVID', 'fix', 'loan', 'environmental', 'plan', 'equality', 'women', 'LGTBQIA', 'people']","whi,would,republican,peopl,plan,covid,fix,loan,environment,plan,equal,women,lgtbqia,peopl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
